title|description|participants|submissions|year|phases|reward|reward_USD|duration_day|challenge|website|papers|winner's code|dataset|field of application|ML domain|real task|ML task|dataset size|dataset details|score|metrics|multi-score|multi-task|results submission|code submission|remark|utility
The Third Evaluation Workshop on Chinese Machine Reading Comprehension|It is the sentence cloze-style machine reading comprehension (SC-MRC). Given a narrative passage and some sentences extract from the passage, the participants should build models to complete the passage by putting the sentences back into the passages on the right places. This task requires the machine to infer the missing segment by reasoning from the context, increasing the difficulty of machine reading comprehension. |46|248.0|2019|3.0|6500 USD|6500|87.0|https://competitions.codalab.org/competitions/20131|https://hfl-rc.com/cmrc2019/; https://ymcui.com/cmrc2019/|https://arxiv.org/pdf/2004.03116.pdf|None|https://github.com/ymcui/cmrc2019|linguistic, philology, litterature|NLP|sentence cloze-style machine reading comprehension (SC-MRC)|machine reading comprehension|10000||QAC|Question Accuracy (QAC),Passage Accuracy (PAC), Final ranking will be judged on the test set, according to QAC (PAC as secondary metric when there is a tie).|True|False|True|False|https://github.com/ymcui/cmrc2019/tree/master/baseline|[1.1760304486375888]
Pose-guided Human Rendering Benchmark Challenge|HUMBI is an ideal dataset to evaluate the ability of modeling human appearance. To measure such ability, we formulate a novel benchmark challenge on a pose-guided appearance rendering task: given a single view image of a person, render the person appearance from other viewsand poses. HUMBI offers the ground truth of this challenging task where the performance of the approaches can be precisely characterized. We validate the feasibility of thebenchmark challenge using the state-of-the-art rendering methods.|12|65.0|2013|1.0|0|0||https://competitions.codalab.org/competitions/35349|https://www.humbi-data.net/|https://arxiv.org/pdf/2110.00119.pdf; https://openaccess.thecvf.com/content_CVPR_2020/papers/Yu_HUMBI_A_Large_Multiview_Dataset_of_Human_Body_Expressions_CVPR_2020_paper.pdf|None|https://competitions.codalab.org/competitions/35349#learn_the_details||computer vision|posture generation|image generation|374352|366300 train images, 7674 validation images, 378 test images|Mrmse|RMSE, MRMSE, SSIM, MSSIM, ranking is based on the MSSIM(rmse according to leaderboard???)|False|False|True|False|https://github.com/Gorokke/humanrender_class|[1.192140697304481]
MICCAI Multimodal Brain Tumor Segmentation (BRaTS) Challenge|The BRaTS challenge is designed to gauge the current state-of-the-art in automated brain tumor segmentation and to compare between different methods. It is organized in conjuction with the MICCAI conference.|141|50.0|2013|2.0|0|0|22.0|https://competitions.codalab.org/competitions/1|http://braintumorsegmentation.org/|https://hal.inria.fr/hal-00912934/document; https://www.cbica.upenn.edu/sbia/Spyridon.Bakas/MICCAI_BraTS/MICCAI_BraTS_2013_proceedings.pdf|None||medicine|computer vision|image recognition|image recognition||772 distinctive subjects|Overall Rank|Dice score, Hausdorff distance, Sensitivity, Specificity, Kappa|True|False|True|False||[0.0]
ChaLearn LAP 2014 - Track 1: Human Pose Recovery|More than 8,000 frames of continuous RGB sequences are recorded and labeled with the objective of performing human pose recovery by means of recognizing more than 120,000 human limbs of different people.|100|25.0|2014|2.0|1000 USD|1000|108.0|https://competitions.codalab.org/competitions/971|https://gesture.chalearn.org/2014-looking-at-people-challenge|https://www.researchgate.net/publication/289842286_ChaLearn_Looking_at_People_Challenge_2014_Dataset_and_Results|None|http://sunai.uoc.edu/chalearnLAP/||computer vision|human pose recovery from RGB data|image recognition|8234|4,000 dev labelled frames, 2,000 validation labelled frames, 2,234 test frames; 120K+ manually annotated limbs for 8K+ frames showing actors performing natural motion|Overlap|Jaccard Index (overlapping)|False|False|True|True||[1.8293515358361774]
ChaLearn LAP 2014 - Track 2: Action Recognition|Recognizing actions/interactions using 235 performances of 11 action/interaction categories recorded and manually labeled in continuous RGB sequences of different people performing natural isolated and collaborative behaviors.|108|36.0|2014|2.0|1000 USD|1000|108.0|https://competitions.codalab.org/competitions/981|||None|http://sunai.uoc.edu/chalearnLAP/||computer vision|action and interaction recognition from RGB data sequences|image recognition||235 action samples performed by 17 actors|Overlap|Jaccard Index (overlapping)|False|False|True|True||[2.079578859873935]
ChaLearn LAP 2014 - Track 3: Gesture Recognition|Recognizing gestures drawn from a vocabulary of Italian sign gesture categories. The emphasis of this track is on multi-modal automatic learning of a set of 20 gestures performed by several different users, with the aim of performing user independent continuous gesture spotting.|299|373.0|2014|2.0|1000 USD|1000|108.0|https://competitions.codalab.org/competitions/991|||None|http://sunai.uoc.edu/chalearnLAP/||computer vision|multi-modal gesture recognition from RGB-Depth sequences|image recognition||14K manually labeled (beginning and ending frame) gesture performances in continuous video sequences, with a vocabulary of 20 Italian gesture categories; 393 train (7,754 gestures), 287 validation (3,362 gestures), 276 test (2,742 gestures) |Overlap|Jaccard Index (overlapping)|False|False|True|True||[1.360556174784397]
ChaLearn Fast Causation Coefficient Challenge|"Score pairs of variables {A, B} with a positive coefficient if A causes B, a negative one if B causes A, and zero otherwise. Consider for instance a target variable B, like occurrence of ""lung cancer"" in patients. The goal would be to find whether a factor A, like ""smoking"", might cause B. The objective of the challenge is to rank pairs of variables {A, B} to prioritize experimental verifications of the conjecture that A causes B. As is known, ""correlation does not mean causation"". More generally, observing a statistical dependency between A and B does not imply that A causes B or that B causes A; A and B could be consequences of a common cause. But, is it possible to determine from the joint observation of samples of two variables A and B that A should be a cause of B or vice versa?"|98|115.0|2014|2.0|3250 USD|3250|70.0|https://competitions.codalab.org/competitions/1381|http://www.causality.inf.ethz.ch/cause-effect.php?page=help; http://clopinet.com/isabelle/Projects/NIPS2013/|http://www.causality.inf.ethz.ch/cause-effect.php?page=help; https://sites.google.com/a/chalearn.org/causality/experimental-design|http://clopinet.com/isabelle/Projects/NIPS2013/; https://github.com/jarfo/cause-effect; https://github.com/waynezhanghk/FastCausation; https://bitbucket.org/lopezpaz/causality_challenge/src/master/|http://www.causality.inf.ethz.ch/cause-effect.php?page=data; http://www.causality.inf.ethz.ch/CEdata/||NLP|Score pairs of variables {A, B} with a positive coefficient if A causes B, a negative one if B causes A, and zero otherwise.|multi-class classification|12150||Bidirectional AUC|AUC|False|False|True|True|Kaggle?? https://www.kaggle.com/c/cause-effect-pairs/data|[0.0]
The MICCAI 2014 Machine Learning Challenge|Predicting Binary and Continuous Phenotypes from Structural Brain MRI Data. The MICCAI 2014 Machine Learning Challenge (MLC) will take a significant step in this direction, where we will employ four separate, carefully compiled, and curated large-scale (each N > 70) structural brain MRI datasets with accompanying clinically relevant phenotypes. Our goal is to provide a snapshot of the current state of the art in the field of neuroimage-based prediction, and attract machine-learning practitioners to the MICCAI community and the field of medical image computing in general|92|142.0|2014|1.0|0|0|61.0|https://competitions.codalab.org/competitions/1471|||None||medicine|computer vision||binary classification, continuous regression|||Mean Accuracy, Mean RMS|Accuracy Estimate, AUC estimate; RMSE estimate, Pearson Correlation Coefficient Estimate|True|True|True|False||[-0.09887446819968766]
ChaLearn Automatic Machine Learning Challenge (AutoML)|Create a fully Automatic Machine Learning solution, capable of building models without ANY human intervention.|717|5097.0|2014|5.0|30000 USD|30000|565.0|https://competitions.codalab.org/competitions/2321||http://www.causality.inf.ethz.ch/AutoML/automl_ijcnn15.pdf; https://www.microsoft.com/en-us/research/blog/automl-challenge-leap-forward-machine-learning-competitions/|None|5 datasets||AutoML||regression, binary classification, multi-class classification, multi-label classification|||<Rank>|R2, ABS, BAC, AUC, F1, PAC|True|True|True|True||[0.0]
COCO Detection Challenge|The COCO Object Detection Task is designed to push the state of the art in object detection forward. COCO features two object detection tasks: using either bounding box output or object segmentation output (the latter is also known as instance segmentation).|1214|11078.0|2015|3.0|0|0|1325.0|https://competitions.codalab.org/competitions/5181|https://cocodataset.org/#detection-2019; https://cocodataset.org/workshop/coco-lvis-eccv-2020.html|https://arxiv.org/abs/1405.0312; https://cocodataset.org/#detection-leaderboard|None|https://cocodataset.org/#download||computer vision|object recognition|object recognition|200000|200,000 images and 80 object categories|AP|Average Precision (AP),AP Across Scales, Average Recall (AR), AR Across Scales|True|False|True|False|https://github.com/cocodataset/cocoapi|[1.501514131897712]
