submission_pk,User,b'Overall',b'J_seen',b'J_unseen',b'F_seen',b'F_unseen'
241110,KF51,0.874 (1),0.865 (1),0.820 (1),0.912 (1),0.901 (2),
488767,Jiaming-Zhang,0.872 (2),0.864 (2),0.817 (3),0.909 (3),0.899 (3),
225252,lll,0.871 (3),0.857 (6),0.818 (2),0.904 (7),0.904 (1),
272237,pokobe,0.868 (4),0.859 (4),0.813 (4),0.907 (5),0.894 (4),
485793,jmmmm,0.867 (5),0.862 (3),0.809 (5),0.910 (2),0.889 (7),
475683,jmgoo,0.864 (6),0.858 (5),0.806 (6),0.906 (6),0.885 (10),
447356,optic,0.863 (7),0.856 (7),0.799 (11),0.909 (4),0.886 (9),
395848,ds-hohhot,0.861 (8),0.851 (9),0.803 (9),0.898 (11),0.892 (5),
471824,lzl2040,0.861 (9),0.850 (12),0.804 (7),0.898 (10),0.891 (6),
444259,cekkec,0.860 (10),0.850 (10),0.803 (8),0.898 (12),0.888 (8),
449302,JiahaoLi,0.857 (11),0.850 (11),0.790 (22),0.904 (8),0.884 (13),
481633,weic,0.856 (12),0.847 (13),0.799 (12),0.894 (13),0.885 (12),
475937,rkws,0.855 (13),0.847 (14),0.798 (14),0.893 (15),0.882 (16),
333495,Starburst,0.855 (14),0.846 (15),0.795 (17),0.894 (14),0.884 (15),
229854,Carolyn,0.852 (15),0.839 (21),0.799 (13),0.887 (23),0.882 (17),
464503,s0wn,0.851 (16),0.851 (8),0.784 (32),0.901 (9),0.869 (30),
247125,joker,0.851 (17),0.834 (26),0.801 (10),0.884 (25),0.884 (14),
197038,jingfa,0.851 (18),0.835 (25),0.798 (15),0.884 (24),0.885 (11),
339631,tomorrow,0.850 (19),0.840 (19),0.794 (19),0.887 (21),0.878 (18),
294307,lfc1995,0.849 (20),0.839 (22),0.795 (16),0.887 (22),0.874 (24),
491365,junting,0.848 (21),0.842 (17),0.792 (20),0.889 (19),0.872 (27),
407725,JTDEV,0.848 (22),0.837 (23),0.791 (21),0.887 (20),0.876 (21),
384739,LiShanglin,0.847 (23),0.841 (18),0.781 (37),0.891 (17),0.874 (23),
426925,CongLi,0.845 (24),0.839 (20),0.781 (36),0.890 (18),0.868 (32),
278364,maxim.smirnov,0.844 (25),0.837 (24),0.794 (18),0.874 (35),0.870 (29),
380254,vos,0.843 (26),0.832 (29),0.783 (34),0.881 (28),0.876 (20),
493762,Pyyh,0.843 (27),0.832 (30),0.788 (26),0.880 (29),0.872 (28),
490649,JiyunKim,0.843 (28),0.832 (31),0.789 (24),0.879 (30),0.872 (26),
450601,bertrjul,0.842 (29),0.829 (34),0.788 (25),0.877 (32),0.877 (19),
225314,ID4,0.842 (30),0.828 (35),0.790 (23),0.876 (33),0.875 (22),
491097,karchen,0.840 (31),0.829 (33),0.787 (27),0.874 (36),0.872 (25),
217374,j7991,0.839 (32),0.833 (28),0.779 (39),0.882 (27),0.863 (37),
404376,cwc,0.837 (33),0.824 (39),0.784 (31),0.871 (40),0.868 (31),
370344,ZY981030,0.835 (34),0.823 (40),0.781 (38),0.870 (42),0.866 (33),
401176,zhouweicsu,0.835 (35),0.822 (45),0.786 (30),0.867 (46),0.866 (35),
212445,_YanKun_,0.835 (36),0.823 (43),0.783 (35),0.869 (43),0.864 (36),
357980,zxy9809,0.833 (37),0.824 (37),0.779 (40),0.869 (44),0.861 (39),
408615,jottue,0.833 (38),0.846 (16),0.761 (48),0.892 (16),0.833 (55),
443530,himanshu2197,0.833 (39),0.823 (44),0.777 (41),0.868 (45),0.862 (38),
437717,moerzy,0.832 (40),0.823 (41),0.775 (42),0.872 (39),0.859 (42),
353701,dyh127,0.832 (41),0.815 (53),0.784 (33),0.861 (51),0.866 (34),
457539,yydstxtxtyyds,0.831 (42),0.830 (32),0.767 (45),0.877 (31),0.852 (44),
373187,test_vos,0.831 (43),0.818 (51),0.786 (29),0.860 (52),0.860 (40),
422379,Amir4c,0.829 (44),0.816 (52),0.786 (28),0.856 (53),0.859 (41),
358185,fly7777,0.828 (45),0.834 (27),0.755 (53),0.882 (26),0.840 (51),
379862,tangji1234,0.827 (46),0.821 (46),0.767 (44),0.867 (47),0.854 (43),
279596,zenoc,0.826 (47),0.824 (38),0.757 (52),0.876 (34),0.847 (46),
492191,chunfai,0.825 (48),0.823 (42),0.760 (49),0.871 (41),0.846 (47),
446743,MATBBB,0.825 (49),0.819 (49),0.766 (46),0.866 (48),0.848 (45),
492866,lll7733,0.824 (50),0.825 (36),0.759 (51),0.872 (38),0.840 (50),
339621,lxj,0.818 (51),0.810 (54),0.768 (43),0.852 (55),0.844 (48),
492116,Joeye,0.815 (52),0.808 (55),0.755 (54),0.853 (54),0.844 (49),
455261,MUVGuan,0.813 (53),0.818 (50),0.740 (60),0.866 (49),0.827 (56),
455989,wjn922,0.810 (54),0.819 (48),0.746 (56),0.864 (50),0.813 (64),
251615,chenchenvv1,0.808 (55),0.798 (59),0.761 (47),0.839 (60),0.835 (52),
376077,suhwan,0.805 (56),0.794 (61),0.760 (50),0.835 (62),0.833 (54),
384367,zjhcwhk,0.805 (57),0.799 (58),0.742 (58),0.846 (58),0.835 (53),
493935,longma,0.803 (58),0.806 (56),0.741 (59),0.849 (57),0.816 (59),
302962,unknow,0.803 (59),0.797 (60),0.748 (55),0.842 (59),0.824 (57),
