submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10'
262907,PH7,0.645 (10),0.888 (1),0.710 (12),0.557 (22),0.693 (10),
337892,andreadps,0.644 (11),0.883 (2),0.722 (7),0.558 (19),0.684 (20),
487144,jinyan,0.648 (8),0.883 (3),0.724 (6),0.565 (5),0.701 (7),
479363,KainingYing,0.663 (4),0.882 (4),0.728 (4),0.574 (1),0.711 (4),
288687,zhangtao-whu,0.649 (7),0.880 (5),0.727 (5),0.565 (6),0.703 (6),
182612,qiqi77,0.643 (15),0.879 (6),0.712 (11),0.555 (27),0.690 (14),
395065,tang5618,0.674 (1),0.879 (7),0.753 (2),0.569 (3),0.725 (2),
220739,KaiNing-Ying,0.656 (5),0.877 (8),0.722 (8),0.565 (7),0.704 (5),
417317,qvtran13,0.672 (2),0.876 (9),0.754 (1),0.570 (2),0.726 (1),
350176,otheraccount2,0.643 (16),0.876 (10),0.709 (17),0.558 (17),0.682 (26),
352936,MasterBin-IIAU,0.669 (3),0.875 (11),0.751 (3),0.566 (4),0.719 (3),
225166,Chenney,0.644 (12),0.875 (12),0.710 (13),0.556 (26),0.690 (15),
442239,hyeonkang,0.643 (13),0.875 (13),0.710 (14),0.556 (26),0.691 (13),
222556,ID4,0.643 (14),0.875 (14),0.710 (15),0.556 (24),0.691 (12),
471971,SamsungMSL,0.641 (18),0.873 (15),0.709 (16),0.547 (38),0.682 (25),
345816,otheraccount1,0.638 (22),0.871 (16),0.702 (19),0.555 (28),0.679 (32),
264657,YINGKAINING_1,0.650 (6),0.869 (17),0.714 (9),0.560 (13),0.695 (8),
346308,teoo,0.641 (17),0.868 (18),0.693 (26),0.558 (20),0.683 (21),
328205,zhenghaoChenney,0.634 (26),0.867 (19),0.697 (22),0.560 (14),0.693 (9),
218306,hojin.kim,0.626 (33),0.867 (20),0.698 (21),0.548 (36),0.680 (30),
277479,aylin,0.623 (37),0.866 (21),0.690 (34),0.541 (44),0.670 (43),
347567,HarborYY,0.646 (9),0.866 (22),0.713 (10),0.559 (16),0.691 (11),
479562,scyf5299,0.632 (27),0.862 (23),0.704 (18),0.558 (21),0.683 (22),
225543,peiyunc1989,0.621 (42),0.861 (24),0.690 (31),0.547 (39),0.665 (47),
315108,miranheo,0.638 (23),0.861 (25),0.679 (43),0.563 (9),0.683 (23),
349026,lipengxiang,0.639 (19),0.861 (26),0.691 (30),0.564 (8),0.688 (17),
479637,scyf234,0.630 (31),0.861 (27),0.692 (27),0.555 (30),0.681 (27),
479144,scyf1234,0.632 (28),0.861 (28),0.698 (20),0.558 (18),0.683 (24),
341421,nnix94,0.630 (30),0.860 (29),0.690 (35),0.562 (10),0.675 (37),
349236,IIAU-lpx,0.639 (20),0.860 (30),0.690 (32),0.564 (8),0.688 (16),
349613,pixeli,0.639 (21),0.858 (31),0.689 (38),0.561 (12),0.685 (19),
491933,iliiili,0.626 (34),0.858 (32),0.685 (40),0.546 (40),0.680 (29),
479135,scyf7890,0.625 (36),0.857 (33),0.689 (36),0.551 (32),0.679 (31),
455408,rajatkoner08,0.631 (29),0.856 (34),0.672 (46),0.555 (29),0.678 (35),
341033,XiangtaiLi,0.634 (25),0.856 (35),0.694 (25),0.556 (25),0.676 (36),
453000,scyf4567,0.625 (35),0.855 (36),0.691 (29),0.556 (23),0.678 (34),
480571,fanghaook,0.628 (32),0.855 (37),0.689 (37),0.561 (11),0.675 (38),
341807,daniel34344,0.618 (45),0.854 (38),0.681 (42),0.550 (33),0.681 (28),
350699,leoo,0.636 (24),0.850 (39),0.692 (28),0.559 (15),0.685 (18),
450833,yzh1703456,0.600 (49),0.850 (40),0.668 (48),0.536 (46),0.666 (46),
382677,lllllllllllllll,0.599 (50),0.849 (41),0.673 (45),0.535 (49),0.650 (52),
170205,JialeCao,0.622 (40),0.848 (42),0.694 (24),0.543 (42),0.671 (41),
333361,itruonghai,0.596 (51),0.845 (43),0.663 (51),0.540 (45),0.657 (51),
461991,korpusose,0.604 (48),0.843 (44),0.669 (47),0.549 (34),0.667 (45),
319061,wangyuqing94,0.623 (38),0.842 (45),0.674 (44),0.548 (35),0.678 (33),
158557,deahuang,0.620 (44),0.842 (46),0.690 (33),0.547 (37),0.672 (39),
182776,happyresearch,0.611 (47),0.839 (47),0.667 (49),0.543 (43),0.668 (44),
333076,nero,0.585 (53),0.834 (48),0.628 (54),0.529 (50),0.657 (50),
337655,dmckee5,0.623 (39),0.834 (49),0.685 (41),0.535 (48),0.660 (48),
410814,einston,0.552 (57),0.833 (50),0.609 (58),0.483 (74),0.602 (61),
261371,userkkk,0.551 (58),0.832 (51),0.593 (61),0.499 (57),0.601 (63),
277008,zitongz3,0.622 (41),0.832 (52),0.687 (39),0.536 (47),0.658 (49),
186243,YoutubeVis2019Bing,0.620 (43),0.832 (53),0.694 (23),0.553 (31),0.672 (40),
412092,nsupreeth5,0.560 (56),0.826 (54),0.624 (55),0.515 (54),0.629 (58),
392875,lkeab_ust,0.560 (56),0.826 (54),0.624 (55),0.515 (54),0.629 (58),
262419,Salted_Fish1,0.590 (52),0.825 (55),0.661 (52),0.518 (53),0.648 (53),
442577,Tanveer81,0.613 (46),0.818 (56),0.665 (50),0.545 (41),0.671 (42),
201562,DanielCU,0.561 (55),0.810 (57),0.615 (57),0.518 (51),0.637 (54),
