submission_pk,User,b'F1 Task 1',b'F1 Task 2',b'Target',b'F1 Target Sentiment',b'F1 Companies Sentiment',b'F1 Consumers Sentiment'
433026,abc111,0.792244 (1),0.575015 (4),0.877137 (1),0.707350 (4),0.530284 (4),0.619746 (4),
429133,lli-uam,0.792172 (2),0.642349 (1),0.852179 (3),0.732164 (1),0.592590 (1),0.692109 (1),
428773,thindang,0.782175 (3),0.610373 (3),0.854511 (2),0.709838 (3),0.588635 (2),0.632111 (3),
428288,sjzafra,0.778002 (4),0.634901 (2),0.838174 (4),0.717829 (2),0.583483 (3),0.686320 (2),
430213,AnkitSinghRaikuni,0.554211 (5),0.457632 (6),0.575360 (6),0.533062 (7),0.419755 (6),0.495509 (6),
431178,eapuerta,0.529229 (6),0.000000 (11),0.410079 (8),0.648379 (5),0.000000 (11),0.000000 (11),
422680,NLP_URJC,0.514414 (7),0.425126 (8),0.606773 (5),0.422055 (9),0.436560 (5),0.413692 (8),
412906,JoseAGD,0.498107 (8),0.433783 (7),0.428393 (7),0.567822 (6),0.384268 (8),0.483298 (7),
432976,mario.pv,0.276926 (9),0.248196 (10),0.106326 (9),0.447526 (8),0.269267 (10),0.227125 (10),
422528,SofiaMBorrelM,0.134680 (10),0.370396 (9),0.086643 (10),0.182717 (10),0.345686 (9),0.395107 (9),
429242,fanchuyi,0.000000 (11),0.472685 (5),0.000000 (11),0.000000 (11),0.414230 (7),0.531139 (5),
