submission_pk,User,b'hit_rate',b'mrr'
311435,thanet.markchom,93.7500 (1),94.3750 (2),
241066,zywiolak,93.7500 (1),95.8333 (1),
308238,deniskokosss,81.2500 (2),87.5000 (3),
306103,WeiJinroad,81.2500 (2),87.5000 (3),
471319,zysngu,75.0000 (3),81.9792 (9),
313171,leon_0712,75.0000 (3),83.3333 (8),
310727,QiZhang,75.0000 (3),84.3750 (6),
308092,mmdreza.molavi,75.0000 (3),85.4167 (4),
288784,rishabhgarodia,75.0000 (3),85.4167 (4),
263156,t9s9,75.0000 (3),83.8542 (7),
262092,mikeogezi,75.0000 (3),84.8958 (5),
315121,shan95,68.7500 (4),77.6290 (12),
308996,dmazzaccara,68.7500 (4),80.0595 (10),
298354,jakel101,68.7500 (4),77.5521 (13),
290048,leonn_0712,62.5000 (5),74.2188 (18),
285013,insaf,62.5000 (5),76.4583 (14),
267941,PAN_XIAOMENG,62.5000 (5),79.1667 (11),
267268,lky199606,62.5000 (5),79.1667 (11),
266102,Rahul,62.5000 (5),76.3021 (15),
256341,Tennant,62.5000 (5),74.8512 (16),
232254,calpt,62.5000 (5),74.4792 (17),
308025,zsbf,56.2500 (6),72.5694 (20),
297108,araganato,56.2500 (6),73.1250 (19),
224987,LorenzoVaiani,56.2500 (6),73.1250 (19),
205186,asahi417,56.2500 (6),73.1250 (19),
307251,mohammadjavad_pirhadi,37.5000 (7),65.1042 (21),
307605,newtonysls,25.0000 (8),48.4102 (22),
