submission_pk,User,b'<Rank>',b'Overall micro-F1',b'Aggression micro-F1',b'Aggression Intensity',b'Discursive Role',b'Gender Bias micro-F1',b'Communal Bias micro-F1',b'Caste/Class Bias micro-F1',b'Ethnicity/Racial Bias micro-F1'
453450,Anonymous,1.57 (1),0.85 (2),0.65 (1),0.45 (3),0.83 (2),0.94 (1),0.96 (1),1.00 (1),0.98 (2),
450626,Anonymous,1.57 (1),0.85 (2),0.65 (1),0.45 (3),0.83 (2),0.94 (1),0.96 (1),1.00 (1),0.98 (2),
450572,Anonymous,1.57 (1),0.85 (2),0.65 (1),0.45 (3),0.83 (2),0.94 (1),0.96 (1),1.00 (1),0.98 (2),
450123,Anonymous,1.71 (2),0.84 (3),0.65 (1),0.45 (3),0.80 (3),0.94 (1),0.96 (1),1.00 (1),0.98 (2),
151231,Anonymous,1.71 (2),0.87 (1),0.62 (2),0.46 (2),0.88 (1),0.92 (2),0.96 (2),0.99 (2),0.98 (1),
151288,Anonymous,3.00 (3),0.81 (4),0.60 (3),0.46 (1),0.69 (4),0.91 (3),0.95 (3),0.99 (3),0.98 (4),
159113,Anonymous,4.00 (4),0.73 (5),0.54 (4),0.32 (4),0.30 (5),0.88 (4),0.95 (4),0.99 (4),0.98 (3),
148724,Anonymous,5.86 (6),0.34 (6),0.33 (5),0.21 (5),0.17 (7),0.50 (6),0.34 (6),0.33 (6),0.50 (6),
148872,Anonymous,5.43 (5),0.00 (7),0.32 (6),0.20 (6),0.25 (6),0.51 (5),0.50 (5),0.50 (5),0.51 (5),
148870,Anonymous,5.43 (5),0.00 (7),0.32 (6),0.20 (6),0.25 (6),0.51 (5),0.50 (5),0.50 (5),0.51 (5),
148846,Anonymous,5.43 (5),0.00 (7),0.32 (6),0.20 (6),0.25 (6),0.51 (5),0.50 (5),0.50 (5),0.51 (5),
151796,Anonymous,7.14 (7),- (8),- (7),- (7),- (8),- (7),- (7),- (7),- (7),
submission_pk,User,b'<Rank>',b'Overall micro-F1',b'Aggression micro-F1',b'Aggression Intensity',b'Discursive Role',b'Gender Bias micro-F1',b'Communal Bias micro-F1',b'Caste/Class Bias micro-F1',b'Ethnicity/Racial Bias micro-F1'
453450,Anonymous,1.43 (1),0.84 (2),0.72 (1),0.70 (1),0.83 (2),0.92 (2),0.96 (1),0.99 (1),0.98 (2),
450626,Anonymous,1.43 (1),0.84 (2),0.72 (1),0.70 (1),0.83 (2),0.92 (2),0.96 (1),0.99 (1),0.98 (2),
450572,Anonymous,1.43 (1),0.84 (2),0.72 (1),0.70 (1),0.83 (2),0.92 (2),0.96 (1),0.99 (1),0.98 (2),
450123,Anonymous,1.57 (2),0.81 (3),0.72 (1),0.70 (1),0.77 (3),0.92 (2),0.96 (1),0.99 (1),0.98 (2),
151231,Anonymous,1.86 (3),0.86 (1),0.70 (2),0.67 (2),0.87 (1),0.89 (3),0.95 (2),0.99 (2),0.98 (1),
151288,Anonymous,3.29 (4),0.76 (4),0.66 (3),0.66 (3),0.71 (4),0.87 (4),0.93 (3),0.98 (3),0.96 (3),
159113,Anonymous,4.00 (5),0.40 (5),0.46 (4),0.39 (4),0.21 (7),0.96 (1),0.92 (4),0.95 (4),0.94 (4),
148724,Anonymous,6.14 (7),0.24 (8),0.34 (5),0.20 (5),0.17 (8),0.50 (5),0.34 (7),0.34 (7),0.51 (6),
148872,Anonymous,5.86 (6),0.31 (7),0.34 (6),0.19 (7),0.25 (6),0.49 (7),0.50 (5),0.51 (5),0.51 (5),
148870,Anonymous,6.14 (7),0.31 (6),0.33 (7),0.20 (6),0.26 (5),0.50 (6),0.50 (6),0.48 (6),0.49 (7),
151796,Anonymous,8.14 (8),- (9),- (8),- (8),- (9),- (8),- (8),- (8),- (8),
148846,Anonymous,8.14 (8),- (9),- (8),- (8),- (9),- (8),- (8),- (8),- (8),
submission_pk,User,b'<Rank>',b'Overall micro-F1',b'COVID-19 Aggression micro-F1',b'TRAC-2018 Aggression micro-F1',b'TRAC-2020 Aggression micro-F1',b'TRAC-2022 Aggression micro-F1'
151796,Anonymous,2.00 (2),0.58 (3),0.58 (2),0.55 (1),0.65 (2),0.49 (3),
453450,Anonymous,1.25 (1),0.63 (2),0.63 (1),0.49 (2),0.66 (1),0.72 (1),
151231,Anonymous,2.00 (2),0.63 (1),0.63 (1),0.47 (3),0.65 (2),0.70 (2),
151288,Anonymous,3.75 (3),0.30 (5),0.30 (4),0.38 (4),0.45 (3),0.40 (4),
148724,Anonymous,4.25 (4),0.33 (4),0.33 (3),0.33 (5),0.33 (4),0.34 (5),
148872,Anonymous,5.50 (5),0.00 (6),0.00 (5),0.00 (6),0.00 (5),0.33 (6),
148846,Anonymous,5.50 (5),0.00 (6),0.00 (5),0.00 (6),0.00 (5),0.33 (6),
450626,Anonymous,6.50 (6),- (7),- (6),- (7),- (6),- (7),
450572,Anonymous,6.50 (6),- (7),- (6),- (7),- (6),- (7),
450123,Anonymous,6.50 (6),- (7),- (6),- (7),- (6),- (7),
159113,Anonymous,6.50 (6),- (7),- (6),- (7),- (6),- (7),
148870,Anonymous,6.50 (6),- (7),- (6),- (7),- (6),- (7),
