submission_pk,User,b'hit_rate',b'mrr'
394654,yangqihao,72.5596 (1),82.2185 (1),
309315,ardriuno,71.8254 (2),80.7175 (2),
309475,zywiolak,70.4927 (3),79.8041 (3),
310376,Rahul,69.5666 (4),76.5793 (5),
310368,Chicky,68.5137 (5),78.7965 (4),
305949,tara101,62.3607 (6),74.1990 (6),
310398,Pinal-Patel,60.8968 (7),71.7063 (7),
342468,mabehen,58.7976 (8),71.4432 (8),
310638,calpt,58.0495 (9),71.2657 (9),
310813,arshandalili,57.4591 (10),71.1322 (10),
306270,leon_0712,56.4338 (11),70.0980 (11),
308459,QiZhang,54.8507 (12),68.6487 (13),
331330,mikeogezi,54.4891 (13),69.4077 (12),
308237,mmdreza.molavi,53.4965 (14),67.9177 (15),
305506,LorenzoVaiani,53.4827 (15),68.1330 (14),
341507,lky199606,51.1140 (16),65.6903 (17),
306725,begab,50.5058 (17),66.4375 (16),
307289,xiaohuaaa,47.3798 (18),61.8802 (18),
309222,xiaotian,42.9973 (19),50.4956 (24),
309741,floschne,42.6619 (20),58.3169 (19),
309053,tiange,42.1803 (21),49.8473 (25),
310362,deniskokosss,40.6678 (22),57.1007 (20),
307600,abaaba101,40.2650 (23),48.1389 (27),
316289,asahi417,37.1994 (24),54.3933 (21),
309155,Silvilla,35.6448 (25),44.4663 (31),
310664,omid,35.5875 (26),52.1761 (22),
316789,mohammadjavad_pirhadi,33.4826 (27),52.0069 (23),
308938,pawan2411,32.5423 (28),48.9726 (26),
306395,wyc15715218898,29.3865 (29),46.2936 (29),
295829,liliqiqi,28.4838 (30),46.4102 (28),
307148,keyi_li,28.3048 (31),39.4100 (33),
307389,yixuan_qiao,27.2858 (32),29.0259 (36),
307368,jp854,26.6667 (33),28.1335 (38),
309303,newtonysls,26.5960 (34),45.7868 (30),
298718,chrisz,26.2779 (35),28.6221 (37),
309393,mgrebowiec,23.6141 (36),27.2320 (40),
308286,dbusca,22.6754 (37),35.0167 (34),
321117,s1m00n,21.9582 (38),26.1123 (41),
310467,dmazzaccara,21.9582 (38),25.8570 (42),
307346,WeiJinroad,21.5263 (39),25.6567 (43),
310609,yjs,21.2289 (40),39.8981 (32),
309838,johnjamin11,19.8704 (41),24.6046 (44),
337582,zsbf,19.6544 (42),24.2421 (46),
310503,Anderson,19.6544 (42),24.4845 (45),
308832,rishabhgarodia,19.6544 (42),24.2241 (47),
341461,shan95,18.9345 (43),23.9530 (49),
310189,ParsaHaghighi,18.9345 (43),23.8922 (50),
307951,jakel101,18.9345 (43),24.0726 (48),
310625,jiesli,17.7826 (44),22.9172 (51),
472202,zysngu,10.0855 (45),29.6696 (35),
317288,ra,10.0855 (45),29.6696 (35),
305406,stefy_rzv,8.9273 (46),15.5825 (52),
310474,pds2022,8.3893 (47),27.6516 (39),
308047,thanet.markchom,6.8395 (48),13.8255 (53),
305668,leonn_0712,4.1757 (49),10.5558 (54),
309415,crowley,2.5918 (50),8.6977 (55),
311482,PAN_XIAOMENG,0.1440 (51),3.9652 (56),
