submission_pk,User,b'Rank-1',b'Rank-5',b'Rank-10',b'Rank-20',b'Rank-1 Distractor'
485794,Endeavor666,0.8223 (1),0.9071 (1),0.9308 (1),0.9476 (1),0.0000 (1),
489335,ChaoFan997,0.7739 (2),0.8790 (2),0.9102 (2),0.9316 (2),0.0000 (1),
432532,SPOSGait,0.7480 (3),0.8482 (3),0.8779 (4),0.9023 (5),0.0000 (1),
449675,league,0.7311 (4),0.8474 (4),0.8835 (3),0.9084 (3),0.0000 (1),
425004,wanxiang,0.7285 (5),0.8415 (5),0.8775 (5),0.9048 (4),0.0000 (1),
159257,fcastro,0.7066 (6),0.8292 (6),0.8689 (6),0.8919 (7),0.0000 (1),
428570,GaitCD,0.6967 (7),0.8101 (9),0.8383 (14),0.8540 (19),0.0000 (1),
183967,GaitGCI,0.6854 (8),0.8082 (10),0.8485 (9),0.8765 (12),0.0000 (1),
181936,temphour,0.6836 (9),0.8208 (7),0.8668 (7),0.8956 (6),0.0000 (1),
211237,Dygait,0.6818 (10),0.8058 (14),0.8432 (13),0.8718 (13),0.0000 (1),
296154,ffy,0.6812 (11),0.8106 (8),0.8511 (8),0.8793 (9),0.0000 (1),
296109,shh,0.6748 (12),0.8062 (12),0.8473 (12),0.8772 (11),0.0000 (1),
451092,MingWang,0.6745 (13),0.8059 (13),0.8478 (11),0.8808 (8),0.0000 (1),
254385,CLASH,0.6698 (14),0.7887 (15),0.8296 (17),0.8575 (18),0.0000 (1),
492663,AlexFor,0.6671 (15),0.8066 (11),0.8482 (10),0.8775 (10),0.0000 (1),
167736,Elevanth,0.6553 (16),0.7863 (17),0.8304 (16),0.8638 (15),0.0000 (1),
417803,JilongWang,0.6491 (17),0.7872 (16),0.8338 (15),0.8677 (14),0.0000 (1),
415134,wl18232976251,0.6380 (18),0.7766 (18),0.8232 (18),0.8587 (17),0.0000 (1),
170817,goagoa,0.6375 (19),0.6854 (39),0.7296 (41),0.7705 (42),0.0000 (1),
464859,Shuxiao,0.6367 (20),0.7752 (19),0.8186 (19),0.8528 (20),0.0000 (1),
387856,of,0.6253 (21),0.7679 (21),0.8152 (21),0.8496 (22),0.0000 (1),
475447,boye996,0.6142 (22),0.7694 (20),0.8182 (20),0.8599 (16),0.0000 (1),
284537,hshvim,0.6028 (23),0.7582 (22),0.8084 (22),0.8463 (23),0.0000 (1),
493804,a13058589912,0.6012 (24),0.7546 (24),0.8039 (24),0.8416 (25),0.0000 (1),
444061,ZhangWenhao,0.6012 (24),0.7547 (23),0.8038 (25),0.8416 (25),0.0000 (1),
415930,winner,0.5918 (25),0.7466 (26),0.8001 (26),0.8397 (26),0.0000 (1),
380995,qinbaigao,0.5863 (26),0.7345 (28),0.7880 (28),0.8266 (27),0.0000 (1),
450882,dashengge,0.5822 (27),0.7516 (25),0.8080 (23),0.8506 (21),0.0000 (1),
248362,boyegait,0.5806 (28),0.7447 (27),0.7969 (27),0.8417 (24),0.0000 (1),
380586,Leeeung,0.5726 (29),0.7262 (29),0.7783 (29),0.8191 (28),0.0000 (1),
385724,chole_22,0.5572 (30),0.7127 (34),0.7654 (34),0.8062 (33),0.0000 (1),
485172,clementli,0.5552 (31),0.7138 (32),0.7710 (31),0.8139 (31),0.0000 (1),
481403,BNU,0.5532 (32),0.7140 (31),0.7678 (33),0.8136 (32),0.0000 (1),
82909,PIO,0.5532 (32),0.7128 (33),0.7685 (32),0.8155 (30),0.0000 (1),
492761,cptbtptp,0.5479 (33),0.7028 (35),0.7549 (37),0.7983 (36),0.0000 (1),
81909,sxzhang,0.5412 (34),0.7147 (30),0.7757 (30),0.8171 (29),0.0000 (1),
481485,tmp,0.5334 (35),0.6958 (36),0.7553 (35),0.8040 (35),0.0000 (1),
204323,luka,0.5284 (36),0.6796 (40),0.7307 (40),0.7752 (40),0.0000 (1),
471154,AndyC,0.5254 (37),0.6898 (38),0.7451 (38),0.7880 (37),0.0000 (1),
464938,kirin,0.5148 (38),0.6787 (41),0.7353 (39),0.7788 (38),0.0000 (1),
343135,hhsu,0.5134 (39),0.6937 (37),0.7550 (36),0.8043 (34),0.0000 (1),
353190,suyiyan1,0.5068 (40),0.6692 (42),0.7242 (42),0.7662 (44),0.0000 (1),
92658,zhangchaoyue,0.4902 (41),0.6569 (44),0.7165 (44),0.7725 (41),0.0000 (1),
455102,trankizoom,0.4887 (42),0.6625 (43),0.7240 (43),0.7762 (39),0.0000 (1),
490137,uuuu,0.4858 (43),0.6548 (45),0.7158 (45),0.7661 (45),0.0000 (1),
435197,PhiGent_Tian,0.4856 (44),0.5498 (51),0.5690 (51),0.5852 (54),0.0000 (1),
445087,caution1,0.4768 (45),0.6468 (46),0.7097 (46),0.7671 (43),0.0000 (1),
183970,GaitCF,0.4757 (46),0.5632 (48),0.5913 (50),0.6116 (51),0.0000 (1),
489037,bcptbtptp,0.4628 (47),0.6380 (47),0.7030 (47),0.7564 (46),0.0000 (1),
242323,ivijayku,0.4163 (48),0.5621 (50),0.6218 (48),0.6683 (48),0.0000 (1),
382537,nbarzilay,0.4120 (49),0.5631 (49),0.6190 (49),0.6742 (47),0.0000 (1),
494172,team,0.3412 (50),0.4792 (54),0.5394 (55),0.5890 (52),0.0000 (1),
385493,mm_77,0.3394 (51),0.4826 (53),0.5411 (54),0.5866 (53),0.0000 (1),
410969,Haijunxiong,0.3366 (52),0.4945 (52),0.5628 (52),0.6192 (49),0.0000 (1),
153062,hehezihehe,0.3170 (53),0.4640 (56),0.5276 (56),0.5824 (56),0.0000 (1),
492172,gavriel,0.3077 (54),0.4585 (57),0.5232 (57),0.5847 (55),0.0000 (1),
424726,fried-chicken,0.2862 (55),0.4646 (55),0.5479 (53),0.6159 (50),0.0000 (1),
477404,trans,0.2400 (56),0.3736 (58),0.4428 (58),0.5040 (57),0.0000 (1),
81776,YiYShuxiao,0.2180 (57),0.3441 (59),0.4078 (59),0.4669 (59),0.0000 (1),
249986,hh_98,0.1938 (58),0.3318 (60),0.4023 (60),0.4761 (58),0.0000 (1),
321510,Noah,0.1494 (59),0.2540 (61),0.3047 (62),0.3580 (62),0.0000 (1),
461783,cghhnbhnb,0.1443 (60),0.2318 (64),0.2805 (64),0.3304 (63),0.0000 (1),
431756,YDQ,0.1292 (61),0.2395 (63),0.3042 (63),0.3658 (61),0.0000 (1),
223823,Leon1207,0.1270 (62),0.2452 (62),0.3106 (61),0.3825 (60),0.0000 (1),
444335,ChaoFan996,0.0645 (63),0.1136 (65),0.1470 (65),0.1778 (64),0.0000 (1),
469889,trouble,0.0249 (64),0.0317 (66),0.0341 (66),0.0350 (65),0.0000 (1),
128084,hanyuanyuan,0.0002 (65),0.0010 (67),0.0025 (67),0.0042 (66),0.0000 (1),
270832,Invoker_X,0.0002 (66),0.0007 (68),0.0010 (69),0.0015 (68),0.0000 (1),
492680,Terrance,0.0001 (67),0.0010 (67),0.0015 (68),0.0029 (67),0.0000 (1),
