submission_pk,User,mIoU,completion,road,sidewalk,parking,other-ground,building,car,truck,bicycle,motorcycle,other-vehicle,vegetation,trunk,terrain,person,bicyclist,motorcyclist,fence,pole,traffic-sign
977492,gjt,0.341 (1),0.425 (17),0.181 (19),0.123 (19),0.119 (19),0.078 (12),0.625 (1),0.468 (1),0.254 (1),0.410 (2),0.332 (2),0.325 (1),0.531 (1),0.434 (1),0.152 (19),0.513 (1),0.504 (1),0.236 (1),0.415 (1),0.399 (1),0.381 (1),
653789,Noah_Canada,0.295 (2),0.456 (14),0.420 (17),0.225 (18),0.170 (18),0.079 (11),0.522 (2),0.312 (10),0.067 (5),0.415 (1),0.450 (1),0.161 (2),0.395 (13),0.340 (2),0.212 (17),0.459 (2),0.358 (2),0.160 (2),0.313 (2),0.310 (2),0.243 (2),
638103,JS3C-Net,0.238 (3),0.566 (6),0.647 (5),0.399 (4),0.349 (4),0.141 (2),0.394 (7),0.333 (7),0.072 (4),0.144 (4),0.088 (3),0.127 (3),0.431 (5),0.196 (14),0.405 (3),0.080 (3),0.051 (3),0.004 (8),0.304 (6),0.189 (8),0.159 (7),
841462,risteon,0.236 (4),0.589 (3),0.696 (2),0.445 (1),0.418 (1),0.127 (5),0.413 (5),0.354 (3),0.045 (11),0.036 (8),0.027 (9),0.047 (11),0.438 (3),0.274 (4),0.409 (2),0.024 (9),0.010 (10),0.000 (13),0.305 (5),0.221 (4),0.185 (4),
815037,qwerty00,0.235 (5),0.588 (4),0.722 (1),0.437 (2),0.374 (2),0.109 (6),0.436 (3),0.365 (2),0.057 (6),0.139 (5),0.046 (7),0.074 (8),0.435 (4),0.256 (6),0.418 (1),0.044 (5),0.026 (7),0.007 (4),0.307 (3),0.145 (17),0.069 (14),
1091362,PengfeiLi_AIR,0.229 (6),0.527 (9),0.630 (8),0.372 (5),0.347 (5),0.157 (1),0.327 (14),0.327 (8),0.086 (3),0.153 (3),0.085 (4),0.122 (4),0.411 (6),0.221 (8),0.372 (5),0.064 (4),0.032 (4),0.010 (3),0.277 (8),0.178 (10),0.189 (3),
778244,raintbow,0.226 (7),0.599 (1),0.689 (3),0.415 (3),0.373 (3),0.137 (4),0.427 (4),0.353 (4),0.050 (8),0.000 (14),0.001 (12),0.050 (10),0.459 (2),0.261 (5),0.390 (4),0.000 (13),0.000 (13),0.001 (12),0.301 (7),0.214 (5),0.170 (5),
719109,hawkey,0.206 (8),0.454 (15),0.535 (15),0.318 (13),0.279 (9),0.056 (18),0.314 (16),0.302 (12),0.086 (2),0.102 (6),0.075 (5),0.089 (7),0.384 (15),0.286 (3),0.346 (7),0.033 (6),0.026 (6),0.006 (5),0.306 (4),0.251 (3),0.122 (10),
819876,HaoZou,0.195 (9),0.594 (2),0.620 (10),0.351 (8),0.282 (8),0.091 (8),0.395 (6),0.339 (6),0.038 (13),0.008 (10),0.004 (11),0.044 (12),0.409 (7),0.232 (7),0.323 (10),0.005 (12),0.003 (11),0.003 (9),0.244 (11),0.188 (9),0.131 (9),
886812,yan.xia,0.191 (10),0.471 (13),0.606 (12),0.354 (7),0.291 (7),0.081 (10),0.380 (10),0.347 (5),0.046 (10),0.027 (9),0.000 (14),0.093 (5),0.249 (18),0.200 (13),0.359 (6),0.025 (8),0.000 (13),0.005 (6),0.257 (9),0.160 (13),0.153 (8),
1136906,tigeriv4,0.184 (11),0.569 (5),0.660 (4),0.365 (6),0.296 (6),0.070 (13),0.390 (8),0.314 (9),0.010 (19),0.000 (13),0.000 (13),0.036 (14),0.400 (11),0.190 (15),0.300 (12),0.000 (14),0.000 (12),0.000 (13),0.234 (13),0.200 (6),0.034 (15),
593430,ifelse,0.183 (12),0.514 (11),0.636 (7),0.321 (11),0.270 (11),0.140 (3),0.297 (18),0.293 (15),0.039 (12),0.000 (14),0.000 (14),0.007 (15),0.401 (9),0.210 (10),0.346 (8),0.000 (15),0.000 (13),0.000 (13),0.253 (10),0.192 (7),0.069 (12),
521389,jbehley,0.177 (13),0.506 (12),0.622 (9),0.316 (14),0.233 (17),0.064 (15),0.341 (13),0.307 (11),0.048 (9),0.000 (14),0.000 (14),0.001 (18),0.401 (10),0.219 (9),0.331 (9),0.000 (15),0.000 (13),0.000 (13),0.241 (12),0.169 (11),0.069 (13),
594044,yanx27,0.175 (14),0.418 (18),0.438 (16),0.281 (16),0.269 (12),0.103 (7),0.298 (17),0.264 (17),0.050 (7),0.003 (12),0.054 (6),0.091 (6),0.358 (16),0.201 (12),0.287 (15),0.029 (7),0.027 (5),0.001 (11),0.233 (14),0.164 (12),0.167 (6),
657466,luigui2906,0.170 (15),0.553 (7),0.640 (6),0.331 (10),0.249 (14),0.032 (19),0.387 (9),0.295 (14),0.025 (16),0.000 (14),0.000 (14),0.001 (17),0.405 (8),0.190 (16),0.308 (11),0.000 (15),0.000 (13),0.000 (13),0.205 (17),0.157 (14),0.005 (17),
954604,lsj,0.168 (16),0.449 (16),0.378 (18),0.313 (15),0.277 (10),0.082 (9),0.322 (15),0.274 (16),0.029 (15),0.043 (7),0.036 (8),0.059 (9),0.346 (17),0.202 (11),0.298 (13),0.018 (10),0.016 (8),0.003 (10),0.214 (16),0.151 (15),0.122 (11),
1131194,jingyuso,0.166 (17),0.540 (8),0.615 (11),0.335 (9),0.256 (13),0.065 (14),0.379 (11),0.246 (18),0.018 (18),0.000 (14),0.000 (14),0.001 (16),0.397 (12),0.178 (18),0.289 (14),0.000 (15),0.000 (13),0.000 (13),0.217 (15),0.150 (16),0.000 (18),
1125177,perdida111,0.161 (18),0.523 (10),0.605 (13),0.319 (12),0.239 (16),0.061 (16),0.362 (12),0.298 (13),0.023 (17),0.000 (14),0.000 (14),0.000 (19),0.387 (14),0.186 (17),0.258 (16),0.000 (15),0.000 (13),0.000 (13),0.190 (18),0.137 (18),0.000 (19),
1043104,anhquancao,0.111 (19),0.342 (19),0.547 (14),0.271 (17),0.248 (15),0.057 (17),0.144 (19),0.188 (19),0.033 (14),0.005 (11),0.007 (10),0.044 (13),0.149 (19),0.024 (19),0.195 (18),0.010 (11),0.014 (9),0.004 (7),0.111 (19),0.033 (19),0.021 (16),
