submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
46791,aad_freiburg,2.20 (1),0.5269 (4),0.6378 (2),0.8457 (2),0.7925 (1),0.9364 (2),5.05 (53),
46321,ideal.intel.analytics,3.20 (2),0.5537 (1),0.6458 (1),0.8130 (8),0.7153 (3),0.9344 (3),1.01 (126),
46731,asml.intel.com,4.60 (3),0.5441 (2),0.6310 (3),0.8191 (6),0.6569 (7),0.9280 (5),2357.87 (25),
45541,g.cawley,5.40 (4),0.5029 (6),0.6105 (17),0.8463 (1),0.7200 (2),0.9428 (1),2.02 (74),
46741,djajetic,6.20 (5),0.5393 (3),0.6253 (6),0.8284 (3),0.6964 (6),0.9022 (13),2.02 (65),
45861,gaspaio,7.20 (6),0.4798 (11),0.6241 (7),0.8142 (7),0.7097 (4),0.9061 (7),22.14 (52),
45211,zaiwei,10.00 (7),0.4837 (10),0.6185 (12),0.8012 (12),0.5780 (10),0.9078 (6),1.01 (104),
45811,joyce,10.60 (8),0.4856 (8),0.6185 (12),0.8006 (13),0.5729 (12),0.9057 (8),1.01 (116),
45821,primachou,12.40 (9),0.4770 (14),0.6185 (12),0.8019 (11),0.5678 (15),0.9045 (10),2.02 (78),
45361,Muser_Hao,12.60 (10),0.4760 (15),0.6196 (11),0.8006 (14),0.5755 (11),0.9028 (12),1.01 (114),
45911,Minjie_Fan,12.80 (11),0.4693 (20),0.6264 (5),0.7927 (17),0.5703 (13),0.9055 (9),1.01 (107),
46711,backstreet.bayes,13.00 (12),0.4846 (9),0.6196 (11),0.7376 (25),0.5785 (9),0.9032 (11),5930.35 (2),
45331,ChenLi,13.80 (13),0.4856 (8),0.6150 (15),0.7834 (18),0.5682 (14),0.9010 (14),1.01 (120),
46701,sjahandideh,15.20 (14),-0.1209 (58),0.6287 (4),0.8197 (5),0.7041 (5),0.9338 (4),2.02 (73),
46721,luyang,16.00 (15),0.4981 (7),0.6230 (8),0.7395 (24),0.5536 (18),0.8889 (23),2.02 (62),
45751,zongyan,16.20 (16),0.4770 (14),0.6219 (9),0.7951 (16),0.5678 (15),0.8819 (27),2.02 (75),
