submission_pk,User,Global IoU,Bipbip,Bipbip,Bipbip,Pead,Pead,Pead,Roseau,Roseau,Roseau,Weedelec,Weedelec,Weedelec,Global IoU Haricot,Global IoU Maize
,IoU Haricot,IoU Maize,IoU Bipbip,IoU Haricot,IoU Maize,IoU Pead,IoU Haricot,IoU Maize,IoU Roseau,IoU Haricot,IoU Maize,IoU Weedelec
775689,mas,0.7753 (1),0.8189 (1),0.6483 (2),0.7359 (3),0.8115 (1),0.7740 (1),0.7748 (1),,,,,,,,,,,,,
774412,RiccardoU,0.7621 (2),0.8070 (4),0.6372 (3),0.7312 (4),0.7948 (3),0.7614 (2),0.7612 (3),,,,,,,,,,,,,
781639,IVIazz,0.7609 (3),0.8091 (3),0.6252 (8),0.7408 (2),0.7980 (2),0.7570 (4),0.7633 (2),,,,,,,,,,,,,
774781,pm390,0.7605 (4),0.8108 (2),0.6493 (1),0.7510 (1),0.7856 (6),0.7604 (3),0.7586 (4),,,,,,,,,,,,,
775936,Castelli-Francesco-10563276,0.7513 (5),0.7914 (9),0.6212 (10),0.7170 (9),0.7887 (4),0.7437 (6),0.7573 (5),,,,,,,,,,,,,
773963,Daniela__,0.7502 (6),0.7867 (14),0.6322 (5),0.7266 (5),0.7832 (8),0.7475 (5),0.7508 (7),,,,,,,,,,,,,
774820,nicolegentile,0.7455 (7),0.7901 (10),0.6344 (4),0.5075 (39),0.7882 (5),0.7349 (13),0.7548 (6),,,,,,,,,,,,,
781736,giampi97,0.7451 (8),0.7877 (12),0.6259 (7),0.7247 (6),0.7788 (9),0.7404 (8),0.7480 (8),,,,,,,,,,,,,
781649,GiacomoMosca,0.7450 (9),0.7790 (21),0.6137 (11),0.6889 (12),0.7854 (7),0.7430 (7),0.7448 (10),,,,,,,,,,,,,
773973,rickycorte,0.7404 (10),0.7823 (18),0.6215 (9),0.7194 (8),0.7710 (11),0.7403 (9),0.7388 (12),,,,,,,,,,,,,
775185,AleR,0.7332 (11),0.7798 (20),0.6055 (13),0.6879 (14),0.7671 (13),0.7249 (14),0.7398 (11),,,,,,,,,,,,,
775538,Dima98,0.7314 (12),0.7998 (6),0.5976 (16),0.7125 (11),0.7576 (18),0.7364 (12),0.7245 (17),,,,,,,,,,,,,
775488,eugeniu_ostrovan,0.7273 (13),0.7550 (32),0.6302 (6),0.7227 (7),0.7558 (19),0.7215 (15),0.7312 (15),,,,,,,,,,,,,
774048,LorenzoBob,0.7271 (14),0.7960 (7),0.6075 (12),0.6500 (20),0.7539 (20),0.7378 (11),0.7144 (19),,,,,,,,,,,,,
773927,AlessioBray,0.7267 (15),0.7731 (24),0.5659 (26),0.6477 (22),0.7757 (10),0.7190 (16),0.7317 (14),,,,,,,,,,,,,
