submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031479,Anonymous,1.5000 (2),0.250 (1),0.619 (1),0.336 (2),0.647 (2),0.875 (1),
1031480,Anonymous,1.5000 (2),0.197 (2),0.598 (2),0.360 (1),0.665 (1),0.768 (2),
1031478,Anonymous,3.0000 (1),- (3),- (3),- (3),- (3),- (3),
986560,Anonymous,3.0000 (1),- (3),- (3),- (3),- (3),- (3),
submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031478,Anonymous,1.0000 (3),0.462 (1),0.787 (1),0.498 (1),0.932 (1),0.930 (1),
1031480,Anonymous,2.0000 (2),0.204 (2),0.612 (2),0.295 (2),0.736 (2),0.805 (2),
1031479,Anonymous,3.0000 (1),- (3),- (3),- (3),- (3),- (3),
986560,Anonymous,3.0000 (1),- (3),- (3),- (3),- (3),- (3),
submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031480,Anonymous,1.0000 (2),0.184 (1),0.587 (1),0.371 (1),0.592 (1),0.798 (1),
1031479,Anonymous,2.0000 (1),- (2),- (2),- (2),- (2),- (2),
1031478,Anonymous,2.0000 (1),- (2),- (2),- (2),- (2),- (2),
986560,Anonymous,2.0000 (1),- (2),- (2),- (2),- (2),- (2),
submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031478,Anonymous,1.0000 (3),0.464 (1),0.791 (1),0.588 (1),0.855 (1),0.931 (1),
1031480,Anonymous,2.0000 (2),0.161 (2),0.573 (2),0.371 (2),0.646 (2),0.702 (2),
1031479,Anonymous,3.0000 (1),- (3),- (3),- (3),- (3),- (3),
986560,Anonymous,3.0000 (1),- (3),- (3),- (3),- (3),- (3),
