submission_pk,User,Precision,Recall,F1_Score
1101618,jonahanton,0.5507 (34),0.5994 (25),0.5740 (21),
1101543,mbakler,0.5488 (35),0.5142 (43),0.5309 (52),
1117755,ChengchunGao,0.5455 (36),0.4732 (48),0.5068 (60),
1090576,AliEdalat,0.5429 (37),0.5584 (35),0.5505 (39),
1143462,AmalSaad,0.5405 (38),0.3155 (55),0.3984 (73),
1090765,rao_ailneni,0.5389 (39),0.5678 (32),0.5530 (37),
1102304,arh121,0.5387 (40),0.5931 (27),0.5646 (28),
1102250,benboyd,0.5371 (41),0.5931 (27),0.5637 (29),
1101105,b7y3i6f8,0.5361 (42),0.5615 (34),0.5485 (42),
1102191,maksymtymchenko,0.5321 (43),0.6278 (17),0.5760 (19),
1101666,lb8s,0.5242 (44),0.5804 (30),0.5509 (38),
1101045,El_Loco,0.5236 (45),0.6309 (16),0.5722 (22),
1101098,wc5118,0.5216 (46),0.7224 (2),0.6058 (8),
1102371,kx3418,0.5207 (47),0.7129 (4),0.6019 (9),
1101725,Ruauma,0.5194 (48),0.6341 (15),0.5710 (24),
1101685,HT_Sun,0.5188 (49),0.6088 (22),0.5602 (31),
1101321,nlpeeer,0.5188 (50),0.6530 (12),0.5782 (17),
1101700,nikita777,0.5178 (51),0.5962 (26),0.5543 (35),
1101570,bluecup,0.5160 (52),0.6120 (21),0.5599 (32),
1101640,tobikim,0.5159 (53),0.5647 (33),0.5392 (47),
1102184,aditya_khairari,0.5145 (54),0.5584 (35),0.5356 (49),
1101789,rb3018,0.5026 (55),0.6025 (24),0.5481 (43),
1104812,zalex,0.5000 (56),0.6845 (7),0.5779 (18),
1090564,Abhishek020,0.5000 (56),0.0284 (56),0.0537 (76),
1102177,ew4018,0.4968 (57),0.4953 (45),0.4961 (64),
1101790,apc4818,0.4926 (58),0.6341 (15),0.5545 (34),
1102222,KeTang,0.4924 (59),0.6120 (21),0.5457 (46),
1100447,ql5318,0.4868 (60),0.5836 (29),0.5308 (53),
1101007,MUNFAI,0.4755 (61),0.5804 (30),0.5227 (57),
1101915,gr221,0.4746 (62),0.5300 (42),0.5007 (63),
1098940,JUST-DEEP,0.4651 (63),0.5457 (38),0.5022 (62),
1090197,makahleh,0.4651 (63),0.5457 (38),0.5022 (62),
1102122,roko_parac,0.4642 (64),0.6751 (9),0.5501 (40),
1102241,_manu,0.4635 (65),0.6215 (18),0.5310 (51),
1102407,mjc121,0.4503 (66),0.6435 (14),0.5299 (54),
1101695,mgreenwood,0.4498 (67),0.4669 (49),0.4582 (70),
1102382,aee,0.4487 (68),0.6341 (15),0.5255 (56),
1102485,Yifei_Zhang,0.4327 (69),0.5678 (32),0.4911 (65),
1101722,crp21,0.4113 (70),0.6877 (6),0.5148 (59),
1102240,ggarrofe,0.4022 (71),0.6814 (8),0.5059 (61),
1093586,isarthak,0.3983 (72),0.6057 (23),0.4806 (67),
1123084,Iordanis,0.3106 (73),0.7192 (3),0.4339 (71),
1115227,DebadityaPal,0.2669 (74),0.6845 (7),0.3841 (74),
1090767,Taygete,0.0827 (75),1.0000 (1),0.1528 (75),
1099098,Diana-Jinghua-Mourhaf,- (76),- (57),- (77),
1090395,hangchaoma,- (76),- (57),- (77),
1088576,JAGD,- (76),- (57),- (77),
submission_pk,User,Unbalaced_Power_Relations,Shallow_Solution,Presupposition,Authority_Voice,Metaphor,Compassion,The_poorer_the_merrier,Average
1091355,PINGAN_Omini-Sinitic,0.6250 (1),0.5435 (2),0.4118 (1),0.3465 (2),0.3467 (4),0.5121 (1),0.2400 (4),0.4322 (2),
1099570,hudou,0.6140 (2),0.5581 (1),0.3913 (2),0.3415 (4),0.4384 (1),0.4961 (3),0.3571 (1),0.4566 (1),
1090279,lnb,0.5758 (3),0.4522 (5),0.3519 (3),0.3942 (1),0.3838 (2),0.4454 (5),0.2667 (3),0.4100 (3),
1101753,sunjin2,0.5615 (4),0.4857 (3),0.3077 (4),0.1818 (8),0.3492 (3),0.5000 (2),0.1667 (7),0.3647 (5),
1090407,Lujunyu007,0.5563 (5),0.4742 (4),0.2400 (7),0.3433 (3),0.2564 (6),0.4436 (6),0.2759 (2),0.3700 (4),
1106944,Miruku,0.5532 (6),0.4167 (6),0.2529 (6),0.2018 (7),0.2353 (7),0.4552 (4),0.2143 (5),0.3328 (6),
1090576,AliEdalat,0.5387 (7),0.3774 (7),0.2558 (5),0.2615 (5),0.2947 (5),0.3932 (7),0.0909 (8),0.3160 (7),
1090765,rao_ailneni,0.1925 (8),0.1394 (9),0.0385 (8),0.2195 (6),0.2105 (8),0.2842 (8),0.2000 (6),0.1835 (8),
1090564,Abhishek020,0.1125 (9),0.1875 (8),0.0222 (10),0.0943 (9),0.1000 (9),0.1081 (9),0.0000 (11),0.0892 (9),
1094141,sirwe.saeedi,0.0967 (10),0.0023 (11),0.0000 (11),0.0315 (11),0.0320 (10),0.0435 (11),0.0109 (9),0.0310 (11),
1117755,ChengchunGao,0.0873 (11),0.0202 (10),0.0239 (9),0.0372 (10),0.0224 (11),0.0584 (10),0.0102 (10),0.0371 (10),
1147224,I2C-UHU,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1143462,AmalSaad,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1141105,coldstarz,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1123084,Iordanis,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1119768,carlaperez,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1115227,DebadityaPal,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1104812,zalex,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1104492,zp18,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1099098,Diana-Jinghua-Mourhaf,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102556,NLP2077,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1100639,CHAOYU_DENG,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102485,Yifei_Zhang,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102327,HY_Coding,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101570,bluecup,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102135,TibiGG,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102407,mjc121,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1100470,hjwu0420,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1099944,ycniu,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102382,aee,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102371,kx3418,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102122,roko_parac,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102250,benboyd,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102112,WhatsAMonad,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102261,jk3120,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102304,arh121,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101700,nikita777,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102240,ggarrofe,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102241,_manu,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101622,ksl,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102222,KeTang,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101543,mbakler,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102191,maksymtymchenko,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102184,aditya_khairari,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101749,vc2418,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102177,ew4018,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101752,nym18,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1102147,NLPatronising,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101640,tobikim,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101915,gr221,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101685,HT_Sun,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1099472,maxxyouu,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101701,thisarli,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101790,apc4818,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101789,rb3018,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101725,Ruauma,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101722,crp21,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101695,mgreenwood,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101666,lb8s,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101618,jonahanton,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1098680,Fair,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101541,nlp_imperial,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1098026,wilsoncwc,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101321,nlpeeer,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101098,wc5118,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101105,b7y3i6f8,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1097144,bxymartin,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101045,El_Loco,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101044,MangoDungo,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1101007,MUNFAI,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1100447,ql5318,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1100275,Wenjia_Wang,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1099244,arios0,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1098940,JUST-DEEP,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1098056,cbwchuck,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1097583,JingleBell,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1093586,isarthak,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1090395,hangchaoma,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1090767,Taygete,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1090420,flerynn,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1090197,makahleh,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
1088576,JAGD,- (12),- (12),- (12),- (12),- (12),- (12),- (12),- (12),
