submission_pk,User,"test-public, VCMR, IoU=0.7","test-public, VCMR, IoU=0.7","test-public, VCMR, IoU=0.7"
,R@1,R@10,R@100
849654,hzj5978,41.98 (3),,,,
1146751,mjjung-,44.87 (1),,,,
735380,cupid,40.53 (5),,,,
1012274,haitianjiangyou,42.20 (2),,,,
1093957,albert507,41.65 (4),,,,
626464,cse232,36.66 (7),,,,
847807,silence_killer,36.97 (6),,,,
907292,hard_computer,36.58 (8),,,,
843620,Catherine_Guo,35.50 (9),,,,
987878,JiajiaJianjian,32.80 (10),,,,
962196,Jisup,31.40 (11),,,,
1042714,HenryHZY,29.31 (12),,,,
913189,KiWoo,27.99 (13),,,,
