submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
17991,ideal.intel.analytics,1.20 (1),0.8265 (1),0.8187 (2),0.9630 (1),0.9038 (1),0.6046 (1),2.99 (61),
12971,abhishek4,4.20 (2),0.8192 (4),0.7947 (3),0.9420 (5),0.8502 (6),0.4520 (3),3.01 (57),
19171,asml.intel.com,6.40 (3),0.8258 (2),0.8211 (1),0.9557 (2),0.8366 (8),0.3483 (19),3.04 (42),
18881,Rong,8.40 (4),0.8154 (14),0.7894 (4),0.8738 (9),0.8662 (3),0.3520 (12),3.10 (27),
19031,backstreet.bayes,9.00 (5),0.8171 (5),0.7838 (20),0.8738 (9),0.8760 (2),0.3534 (9),120.50 (18),
18591,djajetic,9.20 (6),0.8099 (23),0.7890 (5),0.9494 (3),0.7225 (13),0.4543 (2),1182.75 (5),
15183,jose,11.00 (7),0.8235 (3),0.7841 (17),0.8738 (9),0.7202 (14),0.3520 (12),3.08 (30),
18961,jrl44,11.00 (7),0.8160 (11),0.7843 (15),0.8156 (14),0.8503 (5),0.3529 (10),1241.40 (2),
19101,danny7,11.40 (8),0.8154 (14),0.7885 (6),0.8738 (9),0.7011 (16),0.3520 (12),3.11 (26),
19011,zaiwei,11.60 (9),0.8154 (14),0.7885 (7),0.8738 (9),0.7011 (16),0.3520 (12),3.02 (51),
18432,wsmath1234,12.20 (10),0.8162 (8),0.7847 (8),0.8156 (14),0.7011 (16),0.3507 (15),942.42 (13),
15491,guyon,12.60 (11),0.8165 (7),0.7843 (14),0.8156 (14),0.7005 (20),0.3544 (8),969.79 (6),
14911,nada,13.00 (12),0.8154 (14),0.7643 (26),0.8738 (9),0.8606 (4),0.3520 (12),2.99 (60),
12081,cecile.capponi,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),2.43 (65),
12721,nissan.pow,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),2.92 (62),
15121,starting_kit,13.60 (13),0.8154 (14),0.7841 (17),0.8738 (9),0.7011 (16),0.3520 (12),3.07 (31),
