submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
19951,ideal.intel.analytics,1.40 (1),0.8262 (1),0.8132 (2),0.9632 (2),0.8877 (1),0.5894 (1),3.00 (63),
19701,abhishek4,3.60 (2),0.8178 (4),0.7924 (4),0.9394 (5),0.8716 (2),0.4608 (3),3.04 (46),
20151,aad_freiburg,4.00 (3),0.8172 (6),0.8107 (3),0.9751 (1),0.8580 (5),0.3958 (5),6.62 (22),
19681,asml.intel.com,7.40 (4),0.8238 (3),0.8172 (1),0.9551 (3),0.8484 (6),0.3324 (24),3.05 (41),
19671,Rong,7.60 (5),0.8136 (10),0.7851 (7),0.8740 (8),0.8704 (3),0.3367 (10),3.03 (49),
19471,zaiwei,11.00 (6),0.8136 (10),0.7851 (6),0.8740 (8),0.6182 (21),0.3367 (10),3.04 (43),
19831,danny7,11.40 (7),0.8136 (10),0.7846 (8),0.8740 (8),0.6182 (21),0.3367 (10),3.05 (39),
19791,joyce,11.60 (8),0.8136 (10),0.7804 (9),0.8740 (8),0.6182 (21),0.3367 (10),3.05 (42),
19501,backstreet.bayes,12.00 (9),0.8135 (11),0.7759 (22),0.8740 (8),0.8215 (10),0.3368 (9),110.66 (18),
19561,k.diou,12.20 (10),0.8137 (9),0.7767 (13),0.8151 (13),0.6193 (15),0.3367 (11),964.38 (8),
19521,djajetic,12.40 (11),0.8062 (24),0.7866 (5),0.9501 (4),0.6166 (27),0.4837 (2),1154.18 (5),
19901,nada,12.60 (12),0.8136 (10),0.7614 (28),0.8740 (8),0.8416 (7),0.3367 (10),3.03 (51),
19441,jrl44,13.60 (13),0.8125 (19),0.7762 (18),0.8151 (13),0.8109 (11),0.3387 (7),1242.81 (2),
19811,wchang44,13.80 (14),0.8136 (10),0.7764 (16),0.8151 (13),0.6188 (18),0.3361 (12),904.42 (15),
19341,Ironman,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.07 (33),
19591,luyang,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.03 (48),
19621,cecile.capponi,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.02 (54),
19821,zzelig,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.02 (58),
19861,starting_kit,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.06 (36),
19911,nissan.pow,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.03 (50),
19971,zongyan,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),2.99 (64),
20181,shizhen,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.07 (29),
20231,swang92,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),2.89 (68),
20281,wsmath1234,14.00 (15),0.8136 (10),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),3.05 (40),
19391,jose,14.20 (16),0.8244 (2),0.7761 (21),0.8740 (8),0.4885 (30),0.3367 (10),3.12 (25),
19731,marc.boulle,15.00 (17),0.8150 (7),0.6424 (39),0.8624 (11),0.7906 (12),0.3752 (6),3.80 (23),
19741,Minjie_Fan,15.00 (17),0.8136 (10),0.7748 (26),0.8740 (8),0.6182 (21),0.3367 (10),3.04 (44),
19541,gracekee,15.20 (18),0.8136 (10),0.7685 (27),0.8740 (8),0.6182 (21),0.3367 (10),3.06 (35),
20381,aiva,15.20 (18),0.8136 (10),0.7769 (11),0.8151 (13),0.6180 (24),0.3349 (18),964.42 (7),
19981,guyon,15.40 (19),0.8134 (12),0.7764 (15),0.8151 (13),0.6182 (20),0.3351 (17),967.78 (6),
19631,Anders,15.60 (20),0.8136 (10),0.7508 (29),0.8740 (8),0.6182 (21),0.3367 (10),3.08 (28),
19721,dstarer,15.60 (20),0.8129 (17),0.7769 (10),0.8151 (13),0.6180 (23),0.3351 (15),925.57 (14),
20101,wyl,15.80 (21),0.8136 (10),0.7186 (30),0.8740 (8),0.6182 (21),0.3367 (10),2.91 (66),
19801,automl2015,16.00 (22),0.8173 (5),0.7759 (23),-1.0000 (17),0.8389 (8),0.2992 (27),3.25 (24),
19871,RUIXIA_LI,16.00 (22),0.8136 (10),0.7159 (31),0.8740 (8),0.6182 (21),0.3367 (10),3.02 (53),
19371,claesenm,16.20 (23),0.8117 (21),0.6902 (35),0.8464 (12),0.8310 (9),0.3960 (4),3.12 (26),
19531,ylee373,16.20 (23),0.8136 (10),0.7053 (32),0.8740 (8),0.6182 (21),0.3367 (10),3.02 (57),
19421,primachou,16.40 (24),0.8136 (10),0.7001 (33),0.8740 (8),0.6182 (21),0.3367 (10),2.92 (65),
19651,lakerwsl,16.60 (25),0.8136 (10),0.7000 (34),0.8740 (8),0.6182 (21),0.3367 (10),3.07 (32),
19931,xsong6,16.80 (26),0.8129 (16),0.7753 (25),0.8151 (13),0.6188 (16),0.3353 (14),962.39 (9),
19451,Muser_Hao,17.00 (27),0.8136 (10),0.6704 (36),0.8740 (8),0.6182 (21),0.3367 (10),3.09 (27),
19491,g.cawley,17.40 (28),0.7531 (27),0.7761 (21),0.8740 (8),0.6182 (21),0.3367 (10),2.90 (67),
19771,GilbertLi,17.40 (28),0.8131 (15),0.7763 (17),0.8151 (13),0.6072 (29),0.3354 (13),951.23 (11),
19431,ngthuydiem,17.80 (29),0.8133 (13),0.7768 (12),0.8151 (13),0.6077 (28),0.3328 (23),961.30 (10),
19941,chenjing,17.80 (29),0.8136 (10),0.6282 (40),0.8740 (8),0.6182 (21),0.3367 (10),3.03 (47),
19661,Harveyz,18.00 (30),0.8136 (10),0.6239 (41),0.8740 (8),0.6182 (21),0.3367 (10),3.02 (55),
19351,girldiary,18.20 (31),0.8136 (10),0.6236 (42),0.8740 (8),0.6182 (21),0.3367 (10),3.01 (59),
19331,reference,18.40 (32),0.8140 (8),0.7759 (24),0.8151 (13),0.6178 (26),0.3345 (21),926.44 (13),
19611,haoyouqu,18.60 (33),0.8128 (18),0.7761 (20),0.8151 (13),0.6181 (22),0.3346 (20),878.83 (16),
19761,moli,18.60 (33),0.8136 (10),0.6233 (44),0.8740 (8),0.6182 (21),0.3367 (10),3.06 (37),
19961,cengstrom2,18.80 (34),0.8136 (10),0.6232 (45),0.8740 (8),0.6182 (21),0.3367 (10),3.02 (52),
20001,MasterBlaster,18.80 (34),-1.0000 (30),0.7765 (14),0.9361 (6),0.6178 (25),0.3346 (19),1157.15 (4),
19461,kevinzhao90,19.00 (35),0.8116 (22),0.7762 (19),0.8151 (13),0.6184 (19),0.3340 (22),950.12 (12),
20391,topshell,19.00 (35),0.8136 (10),0.6083 (46),0.8740 (8),0.6182 (21),0.3367 (10),3.02 (56),
19711,zhenwen,19.40 (36),0.8119 (20),0.6235 (43),0.8151 (13),0.6201 (13),0.3368 (8),1180.98 (3),
19781,Chansoon,19.40 (36),0.8136 (10),0.5625 (48),0.8740 (8),0.6182 (21),0.3367 (10),3.01 (60),
19581,justrun,19.60 (37),0.8136 (10),0.5188 (49),0.8740 (8),0.6182 (21),0.3367 (10),3.06 (34),
19881,jana.kludas,19.60 (37),0.8115 (23),0.6463 (38),0.9328 (7),0.8619 (4),0.3212 (26),3.05 (38),
19381,matthias.vonrohr,20.40 (38),0.7931 (26),0.6570 (37),0.8711 (9),0.6200 (14),0.3351 (16),105.23 (19),
19401,HarryLiu,20.40 (38),0.8136 (10),-1.0000 (53),0.8740 (8),0.6182 (21),0.3367 (10),3.07 (30),
19511,hoho,20.40 (38),0.8136 (10),-1.0000 (53),0.8740 (8),0.6182 (21),0.3367 (10),3.07 (31),
19641,ChenLi,20.40 (38),0.8136 (10),-1.0000 (53),0.8740 (8),0.6182 (21),0.3367 (10),3.04 (45),
19481,z.dai@sheffield.ac.uk,24.20 (39),0.8133 (14),-0.0425 (52),0.8151 (13),0.6188 (17),0.3313 (25),815.78 (17),
19361,shiyenshi,29.20 (40),0.7483 (28),0.5888 (47),0.8633 (10),0.2138 (32),-0.0501 (29),102.65 (20),
19551,tadej,29.60 (41),0.8055 (25),0.1477 (50),0.8014 (14),0.2984 (31),-0.0005 (28),1518.89 (1),
19601,momohuang,31.40 (42),0.7373 (29),0.1152 (51),0.7433 (15),0.2138 (32),-0.0531 (30),90.32 (21),
19411,john.smith.machine,33.00 (43),-1.0000 (31),-3.2178 (54),0.0000 (16),0.0000 (33),-0.0532 (31),3.01 (61),
19571,igor.chikalov,33.00 (43),-1.0000 (31),-3.2178 (54),0.0000 (16),0.0000 (33),-0.0532 (31),3.00 (62),
