submission_pk,User,Rank Target,Target AUC,Target AP,Target Recall at top-K,Rank Source,Source AUC,Source AP,Source Recall at top-K,Sentence-level Pearson's
966684,Raphael_NICT,1.000 (1),0.850 (1),0.680 (1),0.572 (1),1.000 (1),0.847 (1),0.643 (1),0.512 (1),0.286 (5),
964908,mtreviso,2.667 (3),0.707 (2),0.475 (3),0.336 (3),2.000 (2),0.731 (2),0.495 (2),0.356 (2),0.268 (6),
967013,mtreviso2,2.333 (2),0.673 (3),0.500 (2),0.369 (2),3.000 (3),0.668 (3),0.468 (3),0.322 (3),0.334 (4),
967245,Tasnim,5.333 (5),0.630 (4),0.400 (6),0.265 (6),7.000 (7),0.610 (6),0.311 (8),0.252 (7),0.495 (1),
966952,polak_pe,4.333 (4),0.608 (5),0.436 (4),0.302 (4),5.000 (5),0.618 (5),0.421 (5),0.271 (5),0.246 (7),
966125,yukiar,5.333 (5),0.590 (6),0.415 (5),0.283 (5),6.333 (6),0.578 (7),0.390 (6),0.255 (6),0.010 (9),
966443,Gringham,7.000 (6),0.545 (7),0.356 (7),0.221 (7),4.000 (4),0.638 (4),0.424 (4),0.277 (4),-0.043 (11),
961428,yg211,8.000 (7),0.545 (8),0.334 (8),0.220 (8),10.000 (10),0.474 (10),0.287 (10),0.159 (10),0.176 (8),
963922,melexi,9.000 (8),0.513 (9),0.311 (9),0.185 (9),11.000 (11),-1.000 (11),-1.000 (11),-1.000 (11),0.336 (2),
959890,plj129,10.000 (9),0.496 (10),0.294 (10),0.174 (10),8.667 (9),0.500 (8),0.300 (9),0.174 (9),0.000 (10),
960034,mfomicheva,11.000 (10),0.460 (11),0.271 (11),0.145 (11),8.000 (8),0.486 (9),0.317 (7),0.196 (8),0.335 (3),
