submission_pk,User,All,English,German,Latin,Swedish
,ACC,ACC,ACC,ACC,ACC
590067,mgruppi,0.744 (1),0.703 (3),0.792 (2),0.675 (3),0.806 (1),,,,,,
714437,belerico,0.735 (2),0.703 (3),0.771 (3),0.725 (2),0.742 (3),,,,,,
603353,cbk,0.728 (3),0.649 (5),0.771 (3),0.750 (1),0.742 (3),,,,,,
587043,jinan,0.713 (4),0.676 (4),0.771 (3),0.600 (5),0.806 (1),,,,,,
578148,p.cassotti,0.704 (5),0.703 (3),0.812 (1),0.525 (8),0.774 (2),,,,,,
612486,jenskaiser,0.692 (6),0.676 (4),0.750 (4),0.600 (5),0.742 (3),,,,,,
574610,ehsaneddin,0.686 (7),0.703 (3),0.750 (4),0.550 (7),0.742 (3),,,,,,
590353,RanIwamoto,0.686 (8),0.676 (4),0.708 (6),0.650 (4),0.710 (4),,,,,,
630805,lucas.rettenmeier,0.674 (9),0.703 (3),0.750 (4),0.500 (9),0.742 (3),,,,,,
606508,Eamar,0.664 (10),0.649 (5),0.771 (3),0.525 (8),0.710 (4),,,,,,
574666,pribanp,0.655 (11),0.622 (6),0.646 (9),0.675 (3),0.677 (5),,,,,,
586583,mpoemsl,0.639 (12),0.568 (8),0.729 (5),0.550 (7),0.710 (4),,,,,,
594460,akutuzov,0.618 (13),0.541 (9),0.646 (9),0.575 (6),0.710 (4),,,,,,
570920,semeval2020_baseline2_ct_ci_cd,0.613 (14),0.595 (7),0.688 (7),0.525 (8),0.645 (6),,,,,,
606198,DeadBread,0.612 (15),0.649 (5),0.708 (6),0.350 (13),0.742 (3),,,,,,
574877,basagashka,0.603 (16),0.568 (8),0.646 (9),0.650 (4),0.548 (9),,,,,,
557436,Emkay,0.601 (17),0.514 (10),0.646 (9),0.600 (5),0.645 (6),,,,,,
776899,Hemam,0.601 (18),0.865 (1),0.479 (14),0.575 (6),0.484 (11),,,,,,
570248,vaibhav29498,0.599 (19),0.676 (4),0.667 (8),0.475 (10),0.581 (8),,,,,,
598790,xc2628,0.584 (20),0.595 (7),0.708 (6),0.325 (14),0.710 (4),,,,,,
575798,snoopy,0.584 (20),0.595 (7),0.708 (6),0.325 (14),0.710 (4),,,,,,
576568,sqr_hussain,0.584 (21),0.568 (8),0.625 (10),0.400 (12),0.742 (3),,,,,,
574579,DavidRother,0.584 (22),0.730 (2),0.542 (12),0.450 (11),0.613 (7),,,,,,
576188,snoopy,0.579 (23),0.595 (7),0.688 (7),0.325 (14),0.710 (4),,,,,,
570925,semeval2020_baseline3_majorit,0.576 (24),0.568 (8),0.646 (9),0.350 (13),0.742 (3),,,,,,
579707,dovvakkin,0.576 (25),0.622 (6),0.667 (8),0.500 (9),0.516 (10),,,,,,
575132,kztodorov,0.576 (26),0.568 (8),0.604 (11),0.550 (7),0.581 (8),,,,,,
575863,hubbsa,0.573 (27),0.649 (5),0.479 (14),0.550 (7),0.613 (7),,,,,,
592975,lampa112,0.569 (28),0.568 (8),0.708 (6),0.550 (7),0.452 (12),,,,,,
676585,fdzr,0.563 (29),0.568 (8),0.625 (10),0.350 (13),0.710 (4),,,,,,
577102,aniekler,0.560 (30),0.486 (11),0.604 (11),0.600 (5),0.548 (9),,,,,,
575808,Qing,0.558 (31),0.541 (9),0.646 (9),0.725 (2),0.323 (13),,,,,,
1112734,mahab,0.533 (32),0.595 (7),0.479 (14),0.575 (6),0.484 (11),,,,,,
575254,elerisarsfield,0.526 (33),0.568 (8),0.479 (14),0.575 (6),0.484 (11),,,,,,
575229,nulty,0.521 (34),0.622 (6),0.500 (13),0.350 (13),0.613 (7),,,,,,
686267,vinid,0.509 (35),0.649 (5),0.542 (12),0.525 (8),0.323 (13),,,,,,
570916,semeval2020_baseline1_fd,0.439 (36),0.432 (12),0.417 (15),0.650 (4),0.258 (14),,,,,,
submission_pk,User,All,English,German,Latin,Swedish
,SPR,SPR,SPR,SPR,SPR
594460,akutuzov,0.618 (1),0.605 (1),0.695 (5),0.561 (1),0.610 (2),,,,,,
612486,jenskaiser,0.575 (2),0.461 (2),0.782 (1),0.390 (9),0.668 (1),,,,,,
586583,mpoemsl,0.545 (3),0.422 (4),0.725 (3),0.487 (4),0.547 (7),,,,,,
