submission_pk,User,Rank Target,Target AUC,Target AP,Target Recall at top-K,Rank Source,Source AUC,Source AP,Source Recall at top-K,Sentence-level Pearson's
966699,Raphael_NICT,1.000 (1),0.927 (1),0.828 (1),0.736 (1),1.000 (1),0.922 (1),0.804 (1),0.707 (1),0.679 (1),
967018,mtreviso2,2.000 (2),0.806 (2),0.633 (2),0.515 (2),2.000 (2),0.848 (2),0.709 (2),0.593 (2),0.666 (2),
966445,Gringham,4.333 (4),0.794 (3),0.569 (5),0.458 (5),3.667 (4),0.836 (3),0.667 (4),0.557 (4),0.601 (6),
966934,polak_pe,3.333 (3),0.760 (4),0.609 (3),0.502 (3),3.333 (3),0.802 (4),0.669 (3),0.562 (3),0.614 (5),
964903,mtreviso,4.333 (4),0.755 (5),0.581 (4),0.468 (4),5.667 (6),0.770 (6),0.626 (5),0.518 (6),0.639 (3),
966124,yukiar,6.000 (5),0.706 (6),0.515 (6),0.409 (6),5.333 (5),0.787 (5),0.625 (6),0.521 (5),0.615 (4),
967239,Tasnim,7.000 (6),0.650 (7),0.458 (7),0.354 (7),7.333 (7),0.658 (7),0.413 (8),0.372 (7),0.303 (9),
963942,melexi,8.667 (8),0.543 (8),0.328 (9),0.224 (9),11.000 (11),-1.000 (11),-1.000 (11),-1.000 (11),0.498 (8),
961429,yg211,8.333 (7),0.522 (9),0.328 (8),0.227 (8),9.000 (9),0.522 (9),0.356 (9),0.259 (9),0.252 (10),
959907,plj129,10.000 (9),0.492 (10),0.308 (10),0.216 (10),10.000 (10),0.506 (10),0.341 (10),0.237 (10),-0.017 (11),
960052,mfomicheva,11.000 (10),0.404 (11),0.262 (11),0.164 (11),7.667 (8),0.534 (8),0.427 (7),0.320 (8),0.498 (7),
